City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Ashikaga,JP,77.0,overcast clouds,36.33,139.45,Toyoko INN Tochigi Ashikaga Station North
621,Barras,BR,85.05,scattered clouds,-4.24,-42.29,DIMAS HOTEL
626,Acarau,BR,78.8,clear sky,-2.89,-40.12,castelo pizzaria
628,Ohara,JP,78.01,light intensity shower rain,35.25,140.38,魁
630,San Juan Del Sur,NI,78.8,broken clouds,11.25,-85.87,Nuestra Casa
635,Taylorville,US,84.0,clear sky,39.55,-89.29,Economy Inn
636,Nishihara,JP,78.8,shower rain,26.18,127.76,Minshuku Agaihama
639,Ugu,IN,80.6,mist,26.78,80.33,Mishra's Home
641,Namatanai,PG,79.09,moderate rain,-3.67,152.43,Namatanai Hotel
642,Kattivakkam,IN,82.4,drizzle,13.22,80.32,St. Joseph Thirumana mandapam
645,Kalmunai,LK,80.38,scattered clouds,7.42,81.82,VS Villa
646,Berea,US,84.99,few clouds,41.37,-81.85,Comfort Inn Cleveland Airport
655,Ambon,ID,75.2,light rain,-3.7,128.18,Swiss-Belhotel Ambon
656,Daru,PG,76.57,broken clouds,-9.08,143.21,New century hotel
658,Luwuk,ID,76.42,broken clouds,-0.95,122.79,Hotel Santika Luwuk
660,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
662,Bosconia,CO,82.72,moderate rain,9.97,-73.88,Hotel Jorlin
664,Sabang,ID,81.73,overcast clouds,5.89,95.32,Hotel Citra
667,Santo Antonio Do Ica,BR,83.43,clear sky,-3.1,-67.94,Hotel Fogaça
670,Chandauli,IN,80.33,overcast clouds,25.27,83.27,Sunil building
675,San-Pedro,CI,75.16,broken clouds,4.75,-6.64,Hotel Maria
679,Nizwa,OM,85.53,overcast clouds,22.93,57.53,Orient Apartments
681,Chlorakas,CY,75.2,clear sky,34.8,32.41,Elysium Hotel
685,Pindobacu,BR,75.25,clear sky,-10.74,-40.36,Hotel Valmont
687,Chabahar,IR,84.2,broken clouds,25.29,60.64,هتل گدروشیا
688,Prachuap Khiri Khan,TH,79.05,overcast clouds,11.82,99.78,โรงแรมวราวรรณ รีสอร์ท Warawan resort&hotel
691,Alta Floresta,BR,93.9,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
